price,size,district,year,dataset,rooms
396.48,70.05,Neu_Hohenschönhausen_Hohenschönhausen,2019,historical,3.0
768.0,73.22,Köpenick,2019,historical,3.0
1500.0,40.0,Charlottenburg,2019,historical,2.0
765.93,69.63,Friedrichshagen_Köpenick,2019,historical,2.0
847.0,30.0,Marienfelde_Tempelhof,2019,historical,1.0
1250.0,92.02,Friedrichshain,2019,historical,3.0
569.0,51.3,Wedding,2019,historical,2.0
1178.0,79.0,Tiergarten,2019,historical,3.0
812.0,56.0,Schöneberg,2019,historical,2.0
700.0,15.0,Mitte,2019,historical,1.0
888.9,59.26,Friedrichshain,2019,historical,2.0
2901.0,96.69,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,4.0
1620.0,65.0,Kreuzberg,2019,historical,2.0
1160.0,64.55,Wilmersdorf,2019,historical,2.0
1715.0,122.52,Friedrichshain,2019,historical,4.0
790.0,59.41,Johannisthal_Treptow,2019,historical,2.0
353.69,29.88,Spandau,2019,historical,1.0
1450.0,80.0,Kreuzberg,2019,historical,3.0
807.12,78.59,Köpenick,2019,historical,3.0
2938.35,228.31,Charlottenburg,2019,historical,5.0
541.93,46.0,Lichtenberg,2019,historical,2.0
820.0,96.0,Altglienicke_Treptow,2019,historical,3.0
1351.5,112.63,Spandau,2019,historical,4.0
430.0,50.0,Reinickendorf,2019,historical,2.0
481.0,33.0,Steglitz,2019,historical,1.0
1963.16,115.58,Mitte,2019,historical,4.0
1360.0,80.0,Charlottenburg,2019,historical,3.0
507.0,39.0,Köpenick,2019,historical,1.5
1215.62,63.98,Friedrichshain,2019,historical,2.0
302.02,38.82,Alt_Hohenschönhausen_Hohenschönhausen,2019,historical,1.0
910.0,70.0,Johannisthal_Treptow,2019,historical,2.0
1400.0,92.0,Friedrichshain,2019,historical,3.0
1425.0,125.0,Charlottenburg,2019,historical,3.0
1485.36,119.21,Tegel_Reinickendorf,2019,historical,4.0
999.0,65.0,Köpenick,2019,historical,2.0
1069.0,76.36,Neukölln,2019,historical,3.0
600.0,60.1,Oberschöneweide_Köpenick,2019,historical,2.0
579.0,60.0,Köpenick,2019,historical,2.0
1750.0,70.0,Tiergarten,2019,historical,2.5
1100.0,95.0,Grunewald_Wilmersdorf,2019,historical,3.0
600.0,50.0,Wilmersdorf,2019,historical,2.0
729.0,85.79,Marienfelde_Tempelhof,2019,historical,3.0
2990.0,120.0,Tiergarten,2019,historical,3.0
942.92,79.0,Alt_Hohenschönhausen_Hohenschönhausen,2019,historical,3.0
660.0,55.0,Weißensee,2019,historical,1.0
2340.0,180.0,Zehlendorf,2019,historical,4.0
1450.0,64.0,Charlottenburg,2019,historical,2.0
1800.0,120.0,Tegel_Reinickendorf,2019,historical,4.0
525.72,29.36,Oberschöneweide_Köpenick,2019,historical,1.0
2700.0,153.0,Kreuzberg,2019,historical,2.5
1562.0,97.62,Kreuzberg,2019,historical,3.0
2568.0,214.0,Wilmersdorf,2019,historical,5.0
1200.0,68.0,Wilmersdorf,2019,historical,2.0
499.77,38.6,Pankow,2019,historical,2.0
1287.5,103.0,Tegel_Reinickendorf,2019,historical,2.0
1590.0,118.0,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,4.0
1500.0,132.88,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,3.0
2832.0,177.0,Tiergarten,2019,historical,4.0
1420.0,90.0,Steglitz,2019,historical,3.0
993.82,58.46,Treptow,2019,historical,2.0
665.0,71.76,Tegel_Reinickendorf,2019,historical,2.0
695.0,72.0,Adlershof_Treptow,2019,historical,2.0
515.0,54.77,Weißensee,2019,historical,2.0
1469.0,77.0,Charlottenburg,2019,historical,2.0
707.6,74.48,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,2.0
